Date,TikTok,Facebook,Google Ads,Sales
2018-01-07,0.0,0.0,0.0,7511.0
2018-01-14,0.0,0.0,2026.68,10179.72
2018-01-21,0.0,0.0,0.0,9769.4
2018-01-28,7383.52,0.0,0.0,10805.32
2018-02-04,0.0,5276.42,1964.64,11710.11
2018-02-11,0.0,0.0,0.0,9202.63
2018-02-18,12684.05,0.0,2009.79,12871.83
2018-02-25,0.0,0.0,2070.69,11239.98
2018-03-04,0.0,0.0,0.0,8549.35
2018-03-11,0.0,0.0,2307.0,12761.18
2018-03-18,0.0,0.0,1949.9,11115.47
2018-03-25,12542.22,0.0,2165.61,13874.66
2018-04-01,7962.47,0.0,1843.63,12073.18
2018-04-08,0.0,4361.86,2139.7,13753.7
2018-04-15,0.0,0.0,2147.9,12626.16
2018-04-22,0.0,3762.95,0.0,11762.45
2018-04-29,0.0,0.0,2555.22,10670.35
2018-05-06,0.0,0.0,0.0,8536.53
2018-05-13,0.0,5876.77,0.0,9743.3
2018-05-20,0.0,0.0,2289.78,8586.14
2018-05-27,10596.34,4078.86,1884.43,11109.08
2018-06-03,8348.71,0.0,1954.45,12104.65
2018-06-10,0.0,0.0,2159.03,10191.06
2018-06-17,10083.36,0.0,0.0,10514.32
2018-06-24,0.0,0.0,0.0,9210.93
2018-07-01,0.0,0.0,1978.45,10826.66
2018-07-08,0.0,0.0,0.0,9121.61
2018-07-15,0.0,6840.88,1993.64,9794.44
2018-07-22,0.0,0.0,1495.47,9720.43
2018-07-29,0.0,0.0,0.0,7085.13
2018-08-05,0.0,0.0,0.0,6909.06
2018-08-12,8002.39,5744.33,1871.15,11064.2
2018-08-19,0.0,0.0,0.0,7515.45
2018-08-26,10988.52,0.0,2118.17,10013.13
2018-09-02,0.0,0.0,1692.0,8338.47
2018-09-09,11390.17,7148.93,1612.85,11516.28
2018-09-16,0.0,0.0,1783.48,11071.86
2018-09-23,0.0,0.0,0.0,7629.23
2018-09-30,0.0,5038.18,0.0,8492.57
2018-10-07,12719.76,0.0,2447.72,10058.52
2018-10-14,10276.28,4763.62,1785.85,10925.61
2018-10-21,0.0,0.0,0.0,8635.61
2018-10-28,0.0,0.0,0.0,9365.63
2018-11-04,0.0,0.0,0.0,9503.11
2018-11-11,0.0,0.0,1970.07,9055.72
2018-11-18,0.0,0.0,2035.05,8402.98
2018-11-25,10702.64,0.0,2192.19,11375.25
2018-12-02,0.0,0.0,0.0,9167.13
2018-12-09,0.0,0.0,2098.68,10327.01
2018-12-16,0.0,0.0,0.0,9043.2
2018-12-23,0.0,0.0,0.0,8766.79
2018-12-30,0.0,0.0,0.0,9007.66
